120 Defects4J bugs,RewardRepair-Semantic,RewardRepair-Syntactic,Recorder pefect FL,Recorder PFL 120 ,SequenceR,original Coconut,Coconut in 120,SimFix,CapGen,TBar,TBar in 120,DLFIX in 120,Cure,Cure in 120 bugs,TBAR+Hercules+SimFix+DLFix
Closure_19,Closure_62,Closure_18,Closure_63,Math_82,,Lang_10,Lang_57,Math_35,Math_63,Closure_2,Lang_39,Lang_57,Closure_40,Math_82,Lang_39
Math_11,Chart_24,Closure_104,Closure_73,Mockito_29,,Lang_26,Lang_59,Math_41,Math_65,Closure_38,Lang_51,Lang_59,Closure_46,Mockito_29,Lang_51
Lang_44,Closure_86,Chart_11,Closure_86,Math_57,,Lang_29,Math_2,Math_5,Math_70,Closure_4,Lang_57,Lang_6,Closure_57,Math_57,Lang_57
Lang_28,Closure_70,Math_11,Closure_92,Closure_118,,Lang_33,Math_27,Math_53,Math_75,Closure_40,Lang_59,Math_30,Closure_62,Closure_10,Lang_59
Closure_123,Closure_18,Lang_6,Closure_93,Chart_3,,Lang_51,Math_30,Math_57,Math_80,Closure_46,Lang_6,Math_33,Closure_70,Mockito_5,Lang_6
Lang_43,Chart_11,Lang_51,Closure_104,Closure_10,,Lang_57,Math_34,Math_59,Math_85,Closure_62,Math_11,Math_41,Closure_73,Math_58,Math_11
Closure_101,Math_11,Closure_31,Closure_109,Math_58,,Lang_59,Math_57,Math_70,,Closure_70,Math_5,Math_5,Closure_86,Math_41,Math_5
Math_69,Lang_6,Mockito_26,Closure_115,Closure_31,,Math_2,Math_58,Math_71,,Closure_73,Math_57,Math_50,Closure_92,Math_94,Math_57
Math_70,Closure_31,Math_33,Closure_118,Math_41,,Math_22,Math_59,Math_75,,Lang_10,Math_58,Math_57,Lang_10,Lang_26,Math_58
Lang_24,Lang_33,Math_75,Lang_6,Math_94,,Math_27,Math_80,Math_79,,Lang_24,Math_70,Math_58,Lang_26,Chart_9,Math_70
Lang_9,Mockito_26,Math_94,Lang_26,Lang_26,,Math_30,Math_82,Math_98,,Lang_26,Math_75,Math_59,Lang_29,Closure_86,Math_75
Closure_18,Math_33,Math_80,Lang_29,Chart_9,,Math_34,Math_94,Time_7,,Lang_33,Math_82,Math_70,Lang_38,Chart_8,Math_82
Lang_59,Math_75,Mockito_5,Lang_33,Closure_86,,Math_56,Mockito_5,,,Lang_39,Math_85,Math_75,Lang_43,Math_50,Math_85
Mockito_18,Math_94,Closure_11,Lang_38,Chart_8,,Math_57,Mockito_8,,,Lang_47,Mockito_26,Math_82,Lang_51,Time_19,Mockito_26
